Order_ID,Order_Date,Customer,Region,Category,Product,Quantity,Unit_Price,Discount,Payment_Status,Revenue
ORD2001,2026-01-02,Aarav,North,Electronics,Laptop,2,55000,0.1,Paid,99000
ORD2002,2026-01-03,Diya,South,Clothing,Jacket,3,4200,0.05,Paid,11970
ORD2003,2026-01-04,Rohan,West,Furniture,Chair,5,3200,0.0,Paid,16000
ORD2004,2026-01-05,Meera,East,Electronics,Headphones,4,2500,0.15,Pending,8500
ORD2005,2026-01-06,Kabir,North,Furniture,Table,2,8500,0.1,Paid,15300
ORD2006,2026-01-07,Isha,South,Electronics,Phone,3,28000,0.05,Paid,79800
ORD2007,2026-01-08,Arjun,West,Clothing,Shoes,2,3500,0.2,Paid,5600
ORD2008,2026-01-09,Sanya,East,Electronics,Tablet,1,22000,0.1,Paid,19800
ORD2009,2026-01-10,Aarav,North,Electronics,Laptop,1,55000,0.05,Paid,52250
ORD2010,2026-01-11,Diya,South,Clothing,Jacket,4,4200,0.1,Failed,15120
ORD2011,2026-01-12,Rohan,West,Furniture,Chair,3,3200,0.05,Paid,9120
ORD2012,2026-01-13,Meera,East,Electronics,Headphones,5,2500,0.0,Paid,12500
ORD2013,2026-01-14,Kabir,North,Furniture,Table,1,8500,0.15,Paid,7225
ORD2014,2026-01-15,Isha,South,Electronics,Phone,2,28000,0.1,Paid,50400
ORD2015,2026-01-16,Arjun,West,Clothing,Shoes,4,3500,0.05,Paid,13300
ORD2016,2026-01-17,Sanya,East,Electronics,Tablet,2,22000,0.1,Paid,39600
ORD2017,2026-01-18,Aarav,North,Electronics,Laptop,3,55000,0.15,Paid,140250
ORD2018,2026-01-19,Diya,South,Clothing,Jacket,2,4200,0.0,Paid,8400
ORD2019,2026-01-20,Rohan,West,Furniture,Chair,6,3200,0.1,Paid,17280
ORD2020,2026-01-21,Meera,East,Electronics,Headphones,2,2500,0.05,Paid,4750
ORD2021,2026-01-22,Kabir,North,Furniture,Table,3,8500,0.2,Paid,20400
ORD2022,2026-01-23,Isha,South,Electronics,Phone,1,28000,0.05,Pending,26600
ORD2023,2026-01-24,Arjun,West,Clothing,Shoes,3,3500,0.1,Paid,9450
ORD2024,2026-01-25,Sanya,East,Electronics,Tablet,4,22000,0.15,Paid,74800
ORD2025,2026-01-26,Aarav,North,Electronics,Laptop,2,55000,0.1,Paid,99000
ORD2026,2026-01-27,Diya,South,Clothing,Jacket,1,4200,0.05,Paid,3990
ORD2027,2026-01-28,Rohan,West,Furniture,Chair,2,3200,0.0,Paid,6400
ORD2028,2026-01-29,Meera,East,Electronics,Headphones,3,2500,0.1,Paid,6750
ORD2029,2026-01-30,Kabir,North,Furniture,Table,2,8500,0.05,Paid,16150
ORD2030,2026-01-31,Isha,South,Electronics,Phone,2,28000,0.15,Paid,47600
ORD2031,2026-02-02,Arjun,West,Clothing,Shoes,5,3500,0.2,Paid,14000
ORD2032,2026-02-03,Sanya,East,Electronics,Tablet,1,22000,0.0,Paid,22000
ORD2033,2026-02-04,Aarav,North,Electronics,Laptop,2,55000,0.1,Paid,99000
ORD2034,2026-02-05,Diya,South,Clothing,Jacket,3,4200,0.05,Paid,11970
ORD2035,2026-02-06,Rohan,West,Furniture,Chair,4,3200,0.1,Paid,11520
ORD2036,2026-02-07,Meera,East,Electronics,Headphones,2,2500,0.05,Paid,4750
ORD2037,2026-02-08,Kabir,North,Furniture,Table,1,8500,0.0,Paid,8500
ORD2038,2026-02-09,Isha,South,Electronics,Phone,3,28000,0.1,Paid,75600
ORD2039,2026-02-10,Arjun,West,Clothing,Shoes,2,3500,0.05,Paid,6650
ORD2040,2026-02-11,Sanya,East,Electronics,Tablet,3,22000,0.15,Paid,56100
ORD2042,2026-02-13,Diya,South,Clothing,Jacket,2,4200,0.05,Paid,7980
ORD2043,2026-02-14,Rohan,West,Furniture,Chair,3,3200,0.0,Paid,9600
ORD2045,2026-02-16,Kabir,North,Furniture,Table,2,8500,0.05,Paid,16150
ORD2046,2026-02-17,Isha,South,Electronics,Phone,2,28000,0.05,Paid,53200
ORD2047,2026-02-18,Arjun,West,Clothing,Shoes,3,3500,0.1,Paid,9450
ORD2048,2026-02-19,Sanya,East,Electronics,Tablet,2,22000,0.15,Paid,37400
ORD2049,2026-02-20,Aarav,North,Electronics,Laptop,1,55000,0.1,Paid,49500
ORD2050,2026-02-21,Diya,South,Clothing,Jacket,2,4200,0.05,Paid,7980
